sentence_type,timestamp,lat-dd,lat-dir,lon-dd,lon-dir,satellites_in_view,satellites_in_use,knots,mph,kph,course,altitude,fix_stat,fix_type,fix_time
GPRMC,20210803T191243.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.22, 0.25322, 0.40744],23.97,234.4,1,1,103730
GPGGA,20210803T191243.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.22, 0.25322, 0.40744],23.97,234.4,1,1,103730
GPGGA,20210803T191243.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.22, 0.25322, 0.40744],23.97,234.4,1,1,104248
GPRMC,20210803T191243.750,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.31, 0.35681, 0.57412],36.1,234.4,1,1,104627
GPGGA,20210803T191244.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.31, 0.35681, 0.57412],36.1,234.4,1,1,104751
GPGGA,20210803T191244.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.31, 0.35681, 0.57412],36.1,234.4,1,1,105205
GPRMC,20210803T191244.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.31, 0.35681, 0.57412],31.39,234.4,1,1,105327
GPGGA,20210803T191245.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.31, 0.35681, 0.57412],31.39,234.4,1,1,105709
GPRMC,20210803T191245.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.19, 0.21869, 0.35188],53.94,234.4,1,1,105833
GPGGA,20210803T191245.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.19, 0.21869, 0.35188],53.94,234.4,1,1,106208
GPRMC,20210803T191245.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.18, 0.20718, 0.33336],77.69001,234.4,1,1,106331
GPGGA,20210803T191246.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.18, 0.20718, 0.33336],77.69001,234.4,1,1,106708
GPRMC,20210803T191246.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.17, 0.19567, 0.31484],81.43001,234.4,1,1,106831
GPGGA,20210803T191246.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.17, 0.19567, 0.31484],81.43001,234.4,1,1,107208
GPRMC,20210803T191246.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.15, 0.17265, 0.2778],96.73,234.4,1,1,107330
GPGGA,20210803T191247.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.15, 0.17265, 0.2778],96.73,234.4,1,1,107710
GPRMC,20210803T191247.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.17, 0.19567, 0.31484],97.06,234.4,1,1,107832
GPGGA,20210803T191247.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.17, 0.19567, 0.31484],97.06,234.4,1,1,108209
GPRMC,20210803T191247.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.18, 0.20718, 0.33336],104.19,234.4,1,1,108333
GPGGA,20210803T191248.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.18, 0.20718, 0.33336],104.19,234.4,1,1,108710
GPRMC,20210803T191248.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.19, 0.21869, 0.35188],111.24,234.4,1,1,108833
GPGGA,20210803T191248.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.19, 0.21869, 0.35188],111.24,234.4,1,1,109210
GPRMC,20210803T191248.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.17, 0.19567, 0.31484],132.31,234.4,1,1,109336
GPGGA,20210803T191249.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.17, 0.19567, 0.31484],132.31,234.4,1,1,109710
GPRMC,20210803T191249.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.16, 0.18416, 0.29632],147.15,234.4,1,1,109833
GPGGA,20210803T191249.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.16, 0.18416, 0.29632],147.15,234.4,1,1,110209
GPRMC,20210803T191249.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.24, 0.27624, 0.44448],176.39,234.4,1,1,110333
GPGGA,20210803T191250.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.24, 0.27624, 0.44448],176.39,234.4,1,1,110712
GPRMC,20210803T191250.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.19, 0.21869, 0.35188],170.13,234.4,1,1,110836
GPGGA,20210803T191250.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.19, 0.21869, 0.35188],170.13,234.4,1,1,111212
GPRMC,20210803T191250.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.12, 0.13812, 0.22224],146.35,234.4,1,1,111335
GPGGA,20210803T191251.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.12, 0.13812, 0.22224],146.35,234.4,1,1,111710
GPRMC,20210803T191251.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.1, 0.1151, 0.1852],128.31,234.4,1,1,111834
GPGGA,20210803T191251.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.1, 0.1151, 0.1852],128.31,234.4,1,1,112208
GPRMC,20210803T191251.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.1, 0.1151, 0.1852],69.27,234.4,1,1,112330
GPGGA,20210803T191252.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.1, 0.1151, 0.1852],69.27,234.4,1,1,112708
GPRMC,20210803T191252.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.13, 0.14963, 0.24076],42.19,234.4,1,1,112831
GPGGA,20210803T191252.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.13, 0.14963, 0.24076],42.19,234.4,1,1,113208
GPRMC,20210803T191252.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.12, 0.13812, 0.22224],16.39,234.4,1,1,113330
GPGGA,20210803T191253.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.12, 0.13812, 0.22224],16.39,234.4,1,1,113711
GPRMC,20210803T191253.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.14, 0.16114, 0.25928],344.31,234.4,1,1,113835
GPGGA,20210803T191253.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.14, 0.16114, 0.25928],344.31,234.4,1,1,114209
GPRMC,20210803T191253.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.19, 0.21869, 0.35188],327.7,234.4,1,1,114332
GPGGA,20210803T191254.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.19, 0.21869, 0.35188],327.7,234.4,1,1,114713
GPRMC,20210803T191254.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.25, 0.28775, 0.463],315.21,234.4,1,1,114838
GPGGA,20210803T191254.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.25, 0.28775, 0.463],315.21,234.4,1,1,115210
GPRMC,20210803T191254.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.28, 0.32228, 0.51856],315.11,234.4,1,1,115334
GPGGA,20210803T191255.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.28, 0.32228, 0.51856],315.11,234.4,1,1,115710
GPRMC,20210803T191255.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.25, 0.28775, 0.463],292.18,234.4,1,1,115834
GPGGA,20210803T191255.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.25, 0.28775, 0.463],292.18,234.4,1,1,116209
GPRMC,20210803T191255.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.24, 0.27624, 0.44448],274.41,234.4,1,1,116339
GPGGA,20210803T191256.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.24, 0.27624, 0.44448],274.41,234.4,1,1,116712
GPRMC,20210803T191256.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.21, 0.24171, 0.38892],287.01,234.4,1,1,116835
GPGGA,20210803T191256.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.21, 0.24171, 0.38892],287.01,234.4,1,1,117219
GPRMC,20210803T191256.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.19, 0.21869, 0.35188],305.23,234.4,1,1,117342
GPGGA,20210803T191257.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.19, 0.21869, 0.35188],305.23,234.4,1,1,117709
GPRMC,20210803T191257.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.31, 0.35681, 0.57412],320.61,234.4,1,1,117833
GPGGA,20210803T191257.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.31, 0.35681, 0.57412],320.61,234.4,1,1,118209
GPRMC,20210803T191257.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.3, 0.3453, 0.5556001],324.57,234.4,1,1,118333
GPGGA,20210803T191258.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.3, 0.3453, 0.5556001],324.57,234.4,1,1,118712
GPRMC,20210803T191258.000,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.2, 0.2302, 0.3704],336.18,234.4,1,1,118835
GPGGA,20210803T191258.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.2, 0.2302, 0.3704],336.18,234.4,1,1,119209
GPRMC,20210803T191258.500,[42.17731, 'N'],[83.78333, 'W'],0,6,[0.17, 0.19567, 0.31484],338.08,234.4,1,1,119333
GPGGA,20210803T191259.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.17, 0.19567, 0.31484],338.08,234.4,1,1,119711
GPRMC,20210803T191259.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.17, 0.19567, 0.31484],330.57,234.4,1,1,119835
GPGGA,20210803T191259.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.17, 0.19567, 0.31484],330.57,234.4,1,1,120209
GPRMC,20210803T191259.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.19, 0.21869, 0.35188],336.93,234.4,1,1,120333
GPGGA,20210803T191300.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.19, 0.21869, 0.35188],336.93,234.4,1,1,120721
GPRMC,20210803T191300.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.23, 0.26473, 0.42596],333.92,234.4,1,1,120844
GPGGA,20210803T191300.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.23, 0.26473, 0.42596],333.92,234.4,1,1,121209
GPRMC,20210803T191300.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.25, 0.28775, 0.463],327.74,234.4,1,1,121332
GPGGA,20210803T191301.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.25, 0.28775, 0.463],327.74,234.4,1,1,121719
GPRMC,20210803T191301.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.25, 0.28775, 0.463],330.54,234.4,1,1,121843
GPGGA,20210803T191301.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.25, 0.28775, 0.463],330.54,234.4,1,1,122209
