timestamp,distance[cm]
20210803T191243.000,90
20210803T191243.000,92
20210803T191243.500,91
20210803T191243.750,92
20210803T191244.000,92
20210803T191244.500,93
20210803T191244.500,91
20210803T191245.000,92
20210803T191245.000,91
20210803T191245.500,91
20210803T191245.500,91
20210803T191246.000,94
20210803T191246.000,90
20210803T191246.500,90
20210803T191246.500,91
20210803T191247.000,91
20210803T191247.000,90
20210803T191247.500,91
20210803T191247.500,92
20210803T191248.000,90
20210803T191248.000,91
20210803T191248.500,92
20210803T191248.500,90
20210803T191249.000,91
20210803T191249.000,91
20210803T191249.500,92
20210803T191249.500,90
20210803T191250.000,91
20210803T191250.000,91
20210803T191250.500,90
20210803T191250.500,91
20210803T191251.000,92
20210803T191251.000,90
20210803T191251.500,90
20210803T191251.500,89
20210803T191252.000,90
20210803T191252.000,89
20210803T191252.500,90
20210803T191252.500,90
20210803T191253.000,90
20210803T191253.000,88
20210803T191253.500,91
20210803T191253.500,89
20210803T191254.000,90
20210803T191254.000,90
20210803T191254.500,91
20210803T191254.500,90
20210803T191255.000,90
20210803T191255.000,89
20210803T191255.500,88
20210803T191255.500,89
20210803T191256.000,89
20210803T191256.000,90
20210803T191256.500,89
20210803T191256.500,88
20210803T191257.000,88
20210803T191257.000,89
20210803T191257.500,90
20210803T191257.500,89
20210803T191258.000,89
20210803T191258.000,89
20210803T191258.500,90
20210803T191258.500,89
20210803T191259.000,89
20210803T191259.000,89
20210803T191259.500,89
20210803T191259.500,88
20210803T191300.000,89
20210803T191300.000,87
20210803T191300.500,87
20210803T191300.500,88
20210803T191301.000,87
20210803T191301.000,87
20210803T191301.500,88
20210803T191301.500,87
20210803T191302.000,86
20210803T191302.000,88
20210803T191302.500,87
20210803T191302.500,88
20210803T191303.000,86
20210803T191303.000,87
20210803T191303.500,87
20210803T191303.500,87
20210803T191304.000,89
20210803T191304.000,88
20210803T191304.500,87
20210803T191304.500,87
20210803T191305.000,88
20210803T191305.000,88
20210803T191305.500,88
20210803T191305.500,87
20210803T191306.000,88
20210803T191306.000,90
20210803T191306.500,88
20210803T191306.500,88
20210803T191307.000,88
20210803T191307.000,88
20210803T191307.500,88
20210803T191307.500,88
20210803T191308.000,87
20210803T191308.000,88
20210803T191308.500,87
20210803T191308.500,89
20210803T191309.000,87
20210803T191309.000,88
20210803T191309.500,86
20210803T191309.500,88
20210803T191310.000,88
20210803T191310.000,88
20210803T191310.500,88
20210803T191310.500,88
20210803T191311.000,87
20210803T191311.000,88
20210803T191311.500,88
20210803T191311.500,88
20210803T191312.000,88
20210803T191312.000,89
20210803T191312.500,88
20210803T191312.500,87
20210803T191313.000,88
20210803T191313.000,88
20210803T191313.500,88
20210803T191313.500,88
20210803T191314.000,37
20210803T191314.000,34
20210803T191314.500,36
20210803T191314.500,34
20210803T191315.000,40
20210803T191315.000,89
20210803T191315.500,86
20210803T191315.500,87
20210803T191316.000,90
20210803T191316.000,86
20210803T191316.500,87
20210803T191316.500,87
20210803T191317.000,86
20210803T191317.000,88
20210803T191317.500,87
20210803T191317.500,88
20210803T191318.000,86
20210803T191318.000,88
20210803T191318.500,88
20210803T191318.500,86
20210803T191319.000,86
20210803T191319.000,93
20210803T191319.500,88
20210803T191319.500,86
20210803T191320.000,86
20210803T191320.000,87
20210803T191324.000,87
20210803T191324.000,87
20210803T191324.500,88
20210803T191324.500,88
20210803T191325.000,86
20210803T191325.000,86
20210803T191325.500,86
20210803T191325.500,87
20210803T191326.000,87
20210803T191326.000,87
20210803T191326.500,86
20210803T191326.500,88
20210803T191327.000,89
20210803T191327.000,87
20210803T191327.000,85
20210803T191330.250,88
20210803T191330.750,88
20210803T191330.750,87
20210803T191331.250,88
20210803T191331.250,88
20210803T191331.750,87
20210803T191331.750,88
20210803T191332.250,89
20210803T191332.250,88
20210803T191332.750,86
20210803T191332.750,88
20210803T191333.250,88
20210803T191333.250,87
20210803T191333.750,88
20210803T191333.750,87
20210803T191334.250,88
20210803T191334.250,87
20210803T191335.250,88
20210803T191335.250,89
20210803T191336.250,86
20210803T191336.250,88
20210803T191337.750,87
20210803T191337.750,87
20210803T191338.750,89
20210803T191338.750,86
20210803T191339.750,87
20210803T191339.750,88
20210803T191340.750,88
20210803T191340.750,88
20210803T191341.750,87
20210803T191341.750,86
20210803T191342.750,89
20210803T191342.750,88
20210803T191343.750,88
20210803T191343.750,87
